hippo,cheval,numero,numcourse,jour,heure,proba pl,cl,pl,id,coteprob,cotedirect,predi_placé,bonne_pred
Paris-Vincennes,Fun de Banville,2,1407180,2022-12-04,12:49:00,0.69,2.0,1.0,14071802,14.0,6.8,1,1.0
Paris-Vincennes,Ino du Lupin,8,1407184,2022-12-04,14:33:00,0.53,1.0,1.0,14071848,2.5,2.9,1,1.0
Paris-Vincennes,Idéale du Chêne,7,1409315,2022-12-04,11:45:00,0.52,2.0,1.0,14093157,3.2,2.8,1,1.0
Craon,Pastoria,2,1409553,2022-12-04,11:00:00,0.55,2.0,1.0,14095532,4.4,2.8,1,1.0
Vienne Krieau,Delta Venus,6,1413679,2022-12-04,18:25:00,0.56,3.0,1.0,14136796,4.8,4.5,1,1.0
Maronas,Chapista,9,1413972,2022-12-04,21:35:00,0.63,3.0,1.0,14139729,0.0,0.0,1,1.0
Maronas,Pringles,6,1413973,2022-12-04,22:00:00,0.56,2.0,1.0,14139736,0.0,0.0,1,1.0
Châteaubriant,Kajou Josselyn,14,1407174,2022-12-04,12:30:00,0.54,1.0,1.0,140717414,0.0,2.3,1,1.0
Paris-Vincennes,Défi de la Coudre,13,1407180,2022-12-04,12:49:00,0.74,3.0,1.0,140718013,13.0,10.0,1,1.0
Mauquenchy,Gala d\'Artiste,13,1407194,2022-12-04,15:40:00,0.51,2.0,1.0,140719413,0.0,2.0,1,1.0
Craon,Bandito Conti,11,1409551,2022-12-04,13:35:00,0.59,2.0,1.0,140955111,0.0,4.5,1,1.0
Mauquenchy,Jalisca Dream,13,1413812,2022-12-04,14:10:00,0.5,1.0,1.0,141381213,0.0,4.0,1,1.0
Paris-Vincennes,Harvest,2,1407215,2022-12-05,16:45:00,0.51,3.0,1.0,14072152,4.8,5.5,1,1.0
Cagnes-sur-Mer,Motu Fareone,7,1409566,2022-12-05,15:17:00,0.55,1.0,1.0,14095667,2.3,1.8,1,1.0
Hambourg Bahrenfeld,Sambasamba,1,1413351,2022-12-05,18:30:00,0.81,1.0,1.0,14133511,1.1,1.7,1,1.0
Hambourg Bahrenfeld,Lilly Star,6,1413351,2022-12-05,18:30:00,0.51,3.0,1.0,14133516,101.0,37.0,1,1.0
Hambourg Bahrenfeld,Heavy Enemy,2,1413353,2022-12-05,19:30:00,0.58,1.0,1.0,14133532,1.1,1.7,1,1.0
Hambourg Bahrenfeld,Kosy Occagnes,6,1413354,2022-12-05,20:00:00,0.56,1.0,1.0,14133546,1.1,2.0,1,1.0
Hambourg Bahrenfeld,What a Miracle,6,1413355,2022-12-05,20:20:00,0.65,2.0,1.0,14133556,0.0,0.0,1,1.0
Hambourg Bahrenfeld,Ol Dono Lengai,1,1413356,2022-12-05,20:40:00,0.84,1.0,1.0,14133561,0.0,0.0,1,1.0
Hambourg Bahrenfeld,Larsson,4,1413356,2022-12-05,20:40:00,0.67,3.0,1.0,14133564,0.0,0.0,1,1.0
Romme,Kipling River,2,1413471,2022-12-05,12:20:00,0.5,2.0,1.0,14134712,0.0,0.0,1,1.0
Romme,Haxo d\'Avignère,6,1413473,2022-12-05,13:04:00,0.51,1.0,1.0,14134736,0.0,0.0,1,1.0
Romme,Conch On Inn,6,1413474,2022-12-05,13:26:00,0.53,1.0,1.0,14134746,0.0,0.0,1,1.0
Son Pardo - Majorque,Dolina des Plaines,8,1413874,2022-12-05,13:05:00,0.78,3.0,1.0,14138748,1.5,1.8,1,1.0
Hambourg Bahrenfeld,Gentle du Noyer,10,1413352,2022-12-05,19:00:00,0.55,1.0,1.0,141335210,1.1,1.9,1,1.0
Romme,Fenix Brick,10,1413474,2022-12-05,13:26:00,0.51,2.0,1.0,141347410,0.0,0.0,1,1.0
Son Pardo - Majorque,Kristiano Gio,13,1413876,2022-12-05,14:05:00,0.52,2.0,1.0,141387613,0.0,0.0,1,1.0
Graignes,Irène Flash,5,1407229,2022-12-06,16:45:00,0.84,3.0,1.0,14072295,17.0,17.0,1,1.0
Chantilly,Kendly,4,1409584,2022-12-06,11:55:00,0.53,2.0,1.0,14095844,6.4,7.0,1,1.0
Fontainebleau,Fleur d\'Estruval,5,1409585,2022-12-06,11:40:00,0.74,1.0,1.0,14095855,1.7,1.5,1,1.0
Fontainebleau,Iskandara,1,1409588,2022-12-06,12:12:00,0.7,3.0,1.0,14095881,4.2,5.3,1,1.0
Fontainebleau,Lady Martaline,6,1409588,2022-12-06,12:12:00,0.58,2.0,1.0,14095886,1.9,1.6,1,1.0
Fontainebleau,Roi K\'alin,1,1409589,2022-12-06,14:42:00,0.5,3.0,1.0,14095891,6.2,5.8,1,1.0
Fontainebleau,Blooming,4,1409589,2022-12-06,14:42:00,0.59,2.0,1.0,14095894,3.5,4.3,1,1.0
Fontainebleau,Ikigai,8,1409591,2022-12-06,14:07:00,0.54,2.0,1.0,14095918,2.4,2.8,1,1.0
Umaker,Timeless Sunset,4,1413721,2022-12-06,13:04:00,0.58,1.0,1.0,14137214,0.0,0.0,1,1.0
Umaker,Power Haleryd,9,1413722,2022-12-06,13:26:00,0.59,3.0,1.0,14137229,0.0,0.0,1,1.0
Umaker,Re Vital,5,1413723,2022-12-06,13:47:00,0.54,1.0,1.0,14137235,0.0,0.0,1,1.0
Umaker,Didicoy,8,1413726,2022-12-06,14:46:00,0.57,1.0,1.0,14137268,0.0,0.0,1,1.0
Concepcion,Lord Isafaam,8,1414002,2022-12-06,20:50:00,0.69,1.0,1.0,14140028,0.0,0.0,1,1.0
Concepcion,Indio Con Gracia,5,1414003,2022-12-06,21:20:00,0.54,3.0,1.0,14140035,0.0,0.0,1,1.0
Concepcion,Tordillo Amigo,7,1414003,2022-12-06,21:20:00,0.62,2.0,1.0,14140037,0.0,0.0,1,1.0
Concepcion,Agent Salt,10,1414006,2022-12-06,22:50:00,0.52,2.0,1.0,141400610,0.0,0.0,1,1.0
Paris-Vincennes,Générous Charm,1,1407247,2022-12-07,13:50:00,0.65,3.0,1.0,14072471,7.6,5.8,1,1.0
Pau,Kenmya,4,1409593,2022-12-07,14:42:00,0.5,1.0,1.0,14095934,5.6,4.1,1,1.0
Pau,Inkiostro,8,1409593,2022-12-07,14:42:00,0.51,2.0,1.0,14095938,2.8,3.5,1,1.0
Solvalla,G.R.J\'s Wolverine,6,1413878,2022-12-07,18:39:00,0.64,1.0,1.0,14138786,0.0,0.0,1,1.0
Solvalla,Peter Pan,1,1413879,2022-12-07,19:03:00,0.58,1.0,1.0,14138791,0.0,0.0,1,1.0
Solvalla,Loaded Olle,2,1413879,2022-12-07,19:03:00,0.62,2.0,1.0,14138792,0.0,0.0,1,1.0
Solvalla,Ackuratess,1,1413880,2022-12-07,19:27:00,0.87,2.0,1.0,14138801,0.0,0.0,1,1.0
Solvalla,Four Guys Dream,4,1413882,2022-12-07,20:13:00,0.62,1.0,1.0,14138824,0.0,0.0,1,1.0
Solvalla,Global Creation,4,1413883,2022-12-07,20:41:00,0.52,3.0,1.0,14138834,0.0,0.0,1,1.0
Solvalla,Filippa B.J.,8,1413883,2022-12-07,20:41:00,0.9,1.0,1.0,14138838,0.0,0.0,1,1.0
Jägersro,Sangria Pellini,8,1413905,2022-12-07,12:20:00,0.7,1.0,1.0,14139058,0.0,0.0,1,1.0
Jägersro,Hockstedt,3,1413907,2022-12-07,13:04:00,0.67,1.0,1.0,14139073,0.0,0.0,1,1.0
Jägersro,Kron Vici Star,9,1413907,2022-12-07,13:04:00,0.52,3.0,1.0,14139079,0.0,0.0,1,1.0
Jägersro,Gustavson Be,2,1413908,2022-12-07,13:26:00,0.59,3.0,1.0,14139082,0.0,0.0,1,1.0
Kempton,Perdika,1,1414244,2022-12-07,18:30:00,0.53,1.0,1.0,14142441,1.8,2.3,1,1.0
Kempton,Hey Lyla,2,1414244,2022-12-07,18:30:00,0.58,3.0,1.0,14142442,4.1,5.0,1,1.0
Kempton,Garrick Painter,3,1414245,2022-12-07,19:00:00,0.51,2.0,1.0,14142453,8.6,8.5,1,1.0
Kempton,Al Agaila,3,1414247,2022-12-07,20:00:00,0.56,1.0,1.0,14142473,7.9,2.6,1,1.0
Solvalla,Bad Manner,10,1413881,2022-12-07,19:51:00,0.54,2.0,1.0,141388110,0.0,0.0,1,1.0
Cagnes-sur-Mer,Sans Bruit,1,1409604,2022-12-08,12:20:00,0.5,2.0,1.0,14096041,1.7,2.0,1,1.0
Mons,Illimani Montana,3,1413843,2022-12-08,17:30:00,0.7,1.0,1.0,14138433,0.0,0.0,1,1.0
Mons,Gaelic de Viette,9,1413843,2022-12-08,17:30:00,0.5,3.0,1.0,14138439,0.0,0.0,1,1.0
Mons,Favian d\'Harchies,1,1413846,2022-12-08,19:00:00,0.71,3.0,1.0,14138461,29.0,14.0,1,1.0
Mons,Jambora,3,1413848,2022-12-08,20:00:00,0.96,2.0,1.0,14138483,3.5,3.3,1,1.0
Mons,Joy Rider de Yh,5,1413848,2022-12-08,20:00:00,0.76,1.0,1.0,14138485,10.0,9.5,1,1.0
Mons,Picture Perfect,8,1413849,2022-12-08,20:30:00,0.79,2.0,1.0,14138498,0.0,0.0,1,1.0
Mons,Patsy Zwartland,6,1413851,2022-12-08,21:30:00,0.81,2.0,1.0,14138516,0.0,0.0,1,1.0
Mons,Maestro S,1,1413852,2022-12-08,22:00:00,0.72,1.0,1.0,14138521,0.0,0.0,1,1.0
Munich-Daglfing,Fan d\'Arifant,7,1413952,2022-12-08,11:35:00,0.74,1.0,1.0,14139527,1.2,1.3,1,1.0
Munich-Daglfing,Deniro,5,1413953,2022-12-08,12:05:00,0.86,3.0,1.0,14139535,1.7,1.9,1,1.0
Munich-Daglfing,Harley Greenwood,3,1413954,2022-12-08,12:35:00,0.57,2.0,1.0,14139543,8.3,7.5,1,1.0
Munich-Daglfing,Jeronimo,4,1413956,2022-12-08,13:28:00,0.52,1.0,1.0,14139564,0.0,0.0,1,1.0
Munich-Daglfing,Venka Hall,2,1413957,2022-12-08,13:51:00,0.68,3.0,1.0,14139572,0.0,0.0,1,1.0
Munich-Daglfing,Luna Viking,5,1413957,2022-12-08,13:51:00,0.71,2.0,1.0,14139575,0.0,0.0,1,1.0
Munich-Daglfing,Västerbo Naughty,4,1413958,2022-12-08,14:14:00,0.51,3.0,1.0,14139584,0.0,0.0,1,1.0
Munich-Daglfing,Massai Mara,6,1413958,2022-12-08,14:14:00,0.51,2.0,1.0,14139586,0.0,0.0,1,1.0
Boden,Fifth Avenue Vice,5,1414013,2022-12-08,13:26:00,0.68,2.0,1.0,14140135,0.0,0.0,1,1.0
Ostersund,Akmans Bella,6,1414024,2022-12-08,20:36:00,0.5,3.0,1.0,14140246,0.0,0.0,1,1.0
Ostersund,Storm Odin,7,1414024,2022-12-08,20:36:00,0.55,1.0,1.0,14140247,0.0,0.0,1,1.0
Ostersund,Mon\'s Tornado,4,1414026,2022-12-08,21:15:00,0.52,1.0,1.0,14140264,0.0,0.0,1,1.0
Aby,Velocius Crowd One,3,1414029,2022-12-08,18:30:00,0.5,2.0,1.0,14140293,0.0,0.0,1,1.0
Aby,Daenerys,3,1414032,2022-12-08,19:38:00,0.51,1.0,1.0,14140323,0.0,0.0,1,1.0
Aby,Precious Lane,8,1414033,2022-12-08,20:00:00,0.57,1.0,1.0,14140338,0.0,0.0,1,1.0
Chile,London Dreams,8,1414529,2022-12-08,21:15:00,0.99,1.0,1.0,14145298,0.0,0.0,1,1.0
Chile,Salerozo,7,1414530,2022-12-08,21:45:00,1.0,1.0,1.0,14145307,0.0,0.0,1,1.0
Chile,The Joy,1,1414531,2022-12-08,22:12:00,0.94,3.0,1.0,14145311,0.0,0.0,1,1.0
Ostersund,Weightlessness,10,1414025,2022-12-08,20:56:00,0.5,3.0,1.0,141402510,0.0,0.0,1,1.0
